trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.8762831198969288, 'e': 2.045230624523486e-06}",20,0,34.71969340265912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.8754068367770318, 'e': 1.8506011975819048e-06}",20,0,31.06705197783504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.8745314299402548, 'e': 1.674493209434266e-06}",35,21,26.207855542043877,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8736568985103146, 'e': 1.515144112143249e-06}",30,18,26.399899583619,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8727832416118043, 'e': 1.3709590863840845e-06}",20,12,15.722276650609187,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8719104583701925, 'e': 1.2404950799567113e-06}",35,22,28.264635697570615,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8710385479118223, 'e': 1.1224463652343422e-06}",20,6,29.60619466103008,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8701675093639105, 'e': 1.0156314710024903e-06}",20,13,11.446651229497359,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8692973418545467, 'e': 9.189813578979571e-07}",25,15,17.79676438038064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.8684280445126921, 'e': 8.315287191035679e-07}",25,4,33.478375362900984,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.8675596164681794, 'e': 7.523982992164199e-07}",20,8,18.767648924264083,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.8666920568517111, 'e': 6.807981343976331e-07}",20,0,29.93347773383394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.8658253647948594, 'e': 6.160116261320527e-07}",30,17,27.34083990846725,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8649595394300645, 'e': 5.573903692694596e-07}",20,10,18.862182808991932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8640945798906344, 'e': 5.04347662567888e-07}",30,22,14.286491166494754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8632304853107438, 'e': 4.563526367903986e-07}",25,14,21.872642050242636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
